id	severity	class	symptom	origin	fixture_assertion	static_check
D23	MED	juicefs	跨 namespace 要求逐路径数字 inode 相同（错误合同）	03-22 R01	合同应为 path-size-anchor 精确一致 + inode 唯一且不相交	
D24	MED	bash	可选的 legacy 文件作为引用字面量入数组，导致 finalize 静默退出	03-22b §2	legacy 仅在 -e 或 -L 时加入；SHA-bound audit 用 nullglob 且总数≥1	
D25	CRIT	secret	脚本内嵌 SSH 明文口令并随归档分发	首次 03-22c §2.5；既有例外 FULLBASELINE_V4.sh:37	Gate 0 必须 grep 自身全部脚本，发现明文口令即 FAIL	grep -nE '(sshpass -p|PASSWORD=)[^$]' 即 FAIL
D26	CRIT	cleanup	未审查编排器含 rm -rf / fusermount -uz / umount -l / losetup -D / 宽范围 kill	首次 03-22c §2.3	全部脚本必须入 manifest 并过 Gate 0；上述动作静态检查即 FAIL	grep -nE 'rm -rf|fusermount -uz|umount -l|losetup -D|pkill|killall|fuser -k' 即 FAIL
D27	CRIT	protocol	正式矩阵开始后热改脚本/换 RUN_ID/补样后仍按 normal 签收	首次 03-22c §2.4；03-20B-R1 §10.4 第 7 条	冻结 manifest 后任何脚本变更必须写 RUN_INVALID 并从该阶段首轮重来	
D28	HIGH	ledger	incidents/授权账本不完整，事后汇总出现账本里没有的修复项	首次 03-22c §2.2	append-only，动作前后各一条；fixture 断言汇总项数≤账本项数	
D29	MED	layout	fio filesize=1GiB 不等于预分配，文件只长到实际写入长度	03-22 §7（P0 文件只到 512 MiB）	layout 后必须逐文件核对 size，不能只查存在	
D30	MED	juicefs	juicefs mount -d 父子 PID / Go argv 空格化 / status JSON Setting.UUID 解析	03-22 §7	身份采集对父子 PID 都取；UUID 从 Setting.UUID 取并 fixture 验证	
D31	LOW	ceph	HEALTH_OK 与 'HEALTH OK' 两种格式 / ceph osd dump | grep 多行解析	03-19 偏离 1、2	两种格式均兼容；OSD 计数用 ceph osd stat	
D32	LOW	remote	远端 drop_caches 缺 sudo 导致权限不足静默失败	03-19 偏离 4	echo 3 | sudo tee；fixture 断言失败节点数被计数并上报	
